Test,Validation,Training
S001C001P001R001A001_rgb.avi,S002C003P011R002A001_rgb.avi,S005C001P017R001A001_rgb.avi
S001C001P001R001A002_rgb.avi,S002C003P011R002A002_rgb.avi,S005C001P017R001A002_rgb.avi
S001C001P001R001A008_rgb.avi,S002C003P011R002A008_rgb.avi,S005C001P017R001A008_rgb.avi
S001C001P001R001A009_rgb.avi,S002C003P011R002A009_rgb.avi,S005C001P017R001A009_rgb.avi
S001C001P001R001A011_rgb.avi,S002C003P011R002A011_rgb.avi,S005C001P017R001A011_rgb.avi
S001C001P001R001A023_rgb.avi,S002C003P011R002A023_rgb.avi,S005C001P017R001A023_rgb.avi
S001C001P001R001A028_rgb.avi,S002C003P011R002A028_rgb.avi,S005C001P017R001A028_rgb.avi
S001C001P001R001A031_rgb.avi,S002C003P011R002A031_rgb.avi,S005C001P017R001A031_rgb.avi
S001C001P001R001A043_rgb.avi,S002C003P011R002A043_rgb.avi,S005C001P017R001A043_rgb.avi
S001C001P001R001A048_rgb.avi,S002C003P011R002A048_rgb.avi,S005C001P017R001A048_rgb.avi
S001C001P001R002A001_rgb.avi,S002C003P012R001A001_rgb.avi,S005C001P017R002A001_rgb.avi
S001C001P001R002A002_rgb.avi,S002C003P012R001A002_rgb.avi,S005C001P017R002A002_rgb.avi
S001C001P001R002A008_rgb.avi,S002C003P012R001A008_rgb.avi,S005C001P017R002A008_rgb.avi
S001C001P001R002A009_rgb.avi,S002C003P012R001A009_rgb.avi,S005C001P017R002A009_rgb.avi
S001C001P001R002A011_rgb.avi,S002C003P012R001A011_rgb.avi,S005C001P017R002A011_rgb.avi
S001C001P001R002A023_rgb.avi,S002C003P012R001A023_rgb.avi,S005C001P017R002A023_rgb.avi
S001C001P001R002A028_rgb.avi,S002C003P012R001A028_rgb.avi,S005C001P017R002A028_rgb.avi
S001C001P001R002A031_rgb.avi,S002C003P012R001A031_rgb.avi,S005C001P017R002A031_rgb.avi
S001C001P001R002A043_rgb.avi,S002C003P012R001A043_rgb.avi,S005C001P017R002A043_rgb.avi
S001C001P001R002A048_rgb.avi,S002C003P012R001A048_rgb.avi,S005C001P017R002A048_rgb.avi
S001C001P002R001A001_rgb.avi,S002C003P012R002A001_rgb.avi,S005C001P018R001A001_rgb.avi
S001C001P002R001A002_rgb.avi,S002C003P012R002A002_rgb.avi,S005C001P018R001A002_rgb.avi
S001C001P002R001A008_rgb.avi,S002C003P012R002A008_rgb.avi,S005C001P018R001A008_rgb.avi
S001C001P002R001A009_rgb.avi,S002C003P012R002A009_rgb.avi,S005C001P018R001A009_rgb.avi
S001C001P002R001A011_rgb.avi,S002C003P012R002A011_rgb.avi,S005C001P018R001A011_rgb.avi
S001C001P002R001A023_rgb.avi,S002C003P012R002A023_rgb.avi,S005C001P018R001A023_rgb.avi
S001C001P002R001A028_rgb.avi,S002C003P012R002A028_rgb.avi,S005C001P018R001A028_rgb.avi
S001C001P002R001A031_rgb.avi,S002C003P012R002A031_rgb.avi,S005C001P018R001A031_rgb.avi
S001C001P002R001A043_rgb.avi,S002C003P012R002A043_rgb.avi,S005C001P018R001A043_rgb.avi
S001C001P002R001A048_rgb.avi,S002C003P012R002A048_rgb.avi,S005C001P018R001A048_rgb.avi
S001C001P002R002A001_rgb.avi,S002C003P013R001A001_rgb.avi,S005C001P018R002A001_rgb.avi
